127.0.0.1 - - [18/Dec/2024:13:12:34 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [18/Dec/2024:13:12:38 +0530] "GET /Login_Page/jk.jsp HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [18/Dec/2024:13:12:38 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [18/Dec/2024:13:12:54 +0530] "GET /Login_Page/jk.jsp HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [18/Dec/2024:13:12:59 +0530] "GET /Login_Page/jk.jsp? HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [18/Dec/2024:13:13:12 +0530] "GET /Login_Page/jk.jsp? HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [18/Dec/2024:13:13:14 +0530] "GET /Login_Page/jk.jsp? HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [18/Dec/2024:13:13:14 +0530] "GET /Login_Page/jk.jsp? HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [18/Dec/2024:13:13:15 +0530] "GET /Login_Page/jk.jsp? HTTP/1.1" 200 945
